family,role,category,pos,n,resistance,median
olmo-tiny,ego,death,2,1000,-0.10576825975035022,-0.0117148577281257
olmo-tiny,ego,death,3,1000,0.22811956685574214,0.17448067537977835
olmo-tiny,ego,death,4,1000,0.1863946636052829,0.14359870910709993
olmo-tiny,ego,death,5,1000,0.027134233534056692,0.046168608305850754
olmo-tiny,ego,death,6,1000,0.18213794308659043,0.032964036072434
olmo-tiny,ego,death,7,1000,0.08444292100089251,0.028159727855515147
olmo-tiny,ego,death,8,1000,0.10243515877953013,0.015234100105452444
olmo-tiny,ego,death,9,1000,0.08375151913402941,0.010595817293172705
pythia,ego,death,0,1000,-0.2810566803624365,-0.01843955376365127
pythia,ego,death,1,1000,-0.09429859853670021,-0.027463594540052712
pythia,ego,death,2,1000,0.01689176511649649,0.0020448864775807645
pythia,ego,death,3,1000,-0.005536314981473101,0.0034185067939694978
pythia,ego,death,4,1000,-0.02794126083514677,0.005537560666524192
pythia,ego,death,5,1000,0.009594493187253379,0.00040179808040152136
pythia,ego,death,6,1000,0.004380723467421296,0.002793548900333529
pythia,ego,death,7,1000,0.0074984497245490014,0.001746894980268869
pythia,ego,death,8,1000,0.13777865713382967,0.009236316760850547
pythia,ego,death,9,983,0.001399977852219891,0.010312355033373603
redpajama,ego,death,0,500,2.308015812865054,2.044276563099284
redpajama,ego,death,1,500,0.9247448137163049,0.7707465181883297
redpajama,ego,death,2,500,2.0977336465483267,1.4451507417393223
redpajama,ego,death,3,500,1.9594240365540037,1.6716487592966236
redpajama,ego,death,4,500,2.0239222753420645,1.6215523514410741
redpajama,ego,death,5,500,1.99339121468764,1.690111215579809
redpajama,ego,death,6,500,2.3001669511522054,1.788945729753037
redpajama,ego,death,7,500,1.7175977942457887,1.1914474254655696
redpajama,ego,death,8,500,2.1822514843901706,1.4272472881523364
redpajama,ego,death,9,494,1.9982794413289018,1.3439799037354638
stablelm,ego,death,0,500,0.07943594655675537,-0.09283934525374471
stablelm,ego,death,1,500,0.10095523738994687,-0.0012231149189756937
stablelm,ego,death,2,500,0.23545254255158046,-0.004514362367378781
stablelm,ego,death,3,500,-0.041328901589069995,-0.04317789234876514
stablelm,ego,death,4,500,0.01666575297660645,-0.03861749776844621
stablelm,ego,death,5,500,0.08786071822809473,-0.007922226585862304
stablelm,ego,death,6,500,-0.004113346328097495,-0.008740914109394825
stablelm,ego,death,7,500,0.19982174617941612,-0.0016436746153644169
stablelm,ego,death,8,500,0.07757733091661993,-0.004796803608803777
stablelm,ego,death,9,500,0.06756128938306978,-0.00827181347957429
zephyr,ego,death,0,1000,8.477803170544952,1.013086292457789
zephyr,ego,death,1,1000,3.103054167143163,0.08244436175963094
zephyr,ego,death,2,1000,3.41057484969361,0.17798623892386442
zephyr,ego,death,3,1000,1.7805875836007892,0.08781123761932658
zephyr,ego,death,4,1000,2.979582570383771,0.2036152338770397
zephyr,ego,death,5,1000,3.178127602039051,0.25128806592857655
zephyr,ego,death,6,1000,3.202695549359066,0.1216238314934737
zephyr,ego,death,7,1000,1.940584468639103,0.11591780168665015
zephyr,ego,death,8,1000,1.6928750882634722,0.0716263491049152
zephyr,ego,death,9,984,1.0813914291103228,0.08558763756336674
olmo,reinforced,death,0,500,1.7091441320328564,0.09923058525485624
olmo,reinforced,death,1,500,-1.8654012973272245,-2.467803582070267
olmo,reinforced,death,2,500,0.4962367018470346,-0.02469582884804708
olmo,reinforced,death,3,500,0.7406803244167548,0.16263331852428894
olmo,reinforced,death,4,500,0.8351028168085075,0.5130322685988102
olmo,reinforced,death,5,500,0.24989630470631435,0.021322052332769695
olmo,reinforced,death,6,500,0.11413242004947335,0.0015014348036240862
olmo,reinforced,death,7,500,0.5779740733741442,0.04672719962854543
olmo,reinforced,death,8,500,0.2958431688911562,-0.004393142175930233
olmo,reinforced,death,9,500,0.215713205395426,0.03831062792331645
olmo-tiny,reinforced,death,0,500,-0.09570100612239126,0.38362613637126275
olmo-tiny,reinforced,death,1,500,-0.7867062765624772,0.13524487540664418
olmo-tiny,reinforced,death,2,500,-0.3630334854085482,-0.27922592356552955
olmo-tiny,reinforced,death,3,500,0.47603014445148584,0.22526315581004477
olmo-tiny,reinforced,death,4,500,0.4358116845166894,0.565138414823755
olmo-tiny,reinforced,death,5,500,0.03967927827153337,-0.031352517871414826
olmo-tiny,reinforced,death,6,500,0.38824892745855205,-0.04690168848422668
olmo-tiny,reinforced,death,7,500,0.20118839459148674,0.02763631769912669
olmo-tiny,reinforced,death,8,500,0.20266111030885334,0.01171372320111959
olmo-tiny,reinforced,death,9,500,0.1947491999302695,-0.008582162434148645
amber,superego,death,0,1000,9.01951973599278,5.936452049605374
amber,superego,death,1,1000,3.8238737713010797,0.2285422094775272
amber,superego,death,2,1000,2.9848469859417333,0.5176459688506261
amber,superego,death,3,1000,2.382247234608573,-0.07773906668048623
amber,superego,death,4,1000,1.5742713929911945,-0.0011296841664852353
amber,superego,death,5,1000,2.0352433724612524,-0.0007728530841310744
amber,superego,death,6,1000,1.587518011444994,0.08565556669922507
amber,superego,death,7,1000,1.4867761365199677,0.11244278625295692
amber,superego,death,8,997,1.7868841691591912,-0.004627661231503607
amber,superego,death,9,971,1.8790561083320765,0.24029410153335423
archangel-dpo,superego,death,0,500,-0.004345931720583562,0.001253008607510745
archangel-dpo,superego,death,1,500,0.013894990443468536,0.016147291370753013
