family,pair,layer,prompt,pole1_mass,pole2_mass,blend_mass,in_frame,remainder
olmo,pleasure/pain,dpo,A,0.428156449158314,0.06202766301453991,0.0628536512957582,0.5530377634686121,0.4469622365313879
olmo,pleasure/pain,dpo,B,0.004294025392922412,0.49119699935177347,0.06858117079829862,0.5640721955429945,0.4359278044570055
olmo,pleasure/pain,dpo,AB,0.09681275638122863,0.22338127748746991,0.07598755635832351,0.39618159022702204,0.603818409772978
olmo,pleasure/pain,rlvr,A,0.478667094126493,0.05160921682888666,0.06606348571153717,0.5963397966669168,0.40366020333308317
olmo,pleasure/pain,rlvr,B,0.004542494846190822,0.4992045466474548,0.07536513804051917,0.5791121795341647,0.4208878204658353
olmo,pleasure/pain,rlvr,AB,0.1202350007213458,0.20468691477917744,0.08310878753306111,0.40803070303358435,0.5919692969664156
llama,love/hate,base,A,0.4078978918310064,0.007789940288976953,0.07420950444150799,0.4898973365614913,0.5101026634385086
llama,love/hate,base,B,0.0505913271990588,0.29287570002522245,0.06473567355859916,0.4082027007828804,0.5917972992171197
llama,love/hate,base,AB,0.21311818576736885,0.26570841383250987,0.06029799294883978,0.5391245925487185,0.4608754074512815
llama,love/hate,dpo,A,0.43284968805649376,0.005232757475640586,0.12475156355248984,0.5628340090846242,0.4371659909153758
llama,love/hate,dpo,B,0.08439534401967778,0.19766528345437356,0.08664620168458684,0.36870682915863817,0.6312931708413618
llama,love/hate,dpo,AB,0.2993869279110769,0.2141633198651078,0.06413925970490336,0.5776895074810882,0.42231049251891184
llama,trust/fear,base,A,0.2672088969664504,0.04140843339612269,0.12007309089798215,0.42869042126055523,0.5713095787394448
llama,trust/fear,base,B,0.08553162656952687,0.253055547857784,0.13575705854094985,0.4743442329682608,0.5256557670317392
llama,trust/fear,base,AB,0.1669833941992256,0.10897804943147896,0.13519740122328183,0.41115884485398635,0.5888411551460137
llama,trust/fear,dpo,A,0.2793265314374569,0.031072936253125374,0.1394536031739941,0.4498530708645764,0.5501469291354236
llama,trust/fear,dpo,B,0.06742197848278005,0.2692380278511408,0.1767170621684892,0.51337706850241,0.48662293149758995
llama,trust/fear,dpo,AB,0.09040437239638768,0.21956129614902214,0.14715895563999415,0.457124624185404,0.542875375814596
llama,beautiful/disgusting,base,A,0.08486334761084881,0.027767392468287192,0.015761902622130706,0.1283926427012667,0.8716073572987333
llama,beautiful/disgusting,base,B,0.013252192422037066,0.1533920743171651,0.018473917758772253,0.1851181844979744,0.8148818155020257
llama,beautiful/disgusting,base,AB,0.12278879644605838,0.038082676769442186,0.01490090119571765,0.1757723744112182,0.8242276255887818
llama,beautiful/disgusting,dpo,A,0.07663935194005204,0.03811301108065051,0.020119780169006504,0.13487214318970905,0.8651278568102909
llama,beautiful/disgusting,dpo,B,0.009340906223466488,0.20865035596983658,0.019960213700809252,0.2379514758941123,0.7620485241058876
llama,beautiful/disgusting,dpo,AB,0.1681867266521193,0.05986942754846656,0.011598338527396227,0.2396544927279821,0.7603455072720179
llama,obey/rebel,base,A,0.3701703215873002,0.010716182452531847,0.1281149120127258,0.5090014160525578,0.4909985839474422
llama,obey/rebel,base,B,0.18165508601234248,0.1016144144612678,0.1608285849140034,0.44409808538761364,0.5559019146123864
llama,obey/rebel,base,AB,0.2514095466392202,0.06706932206609835,0.1772250871508639,0.49570395585618243,0.5042960441438176
