family,direction,category,position,mean_resist,std_resist,n
olmo,forward,violence_explicit,9,0.8746131458539141,2.839688645320947,10240
olmo,forward,violence_explicit,10,0.8970955821022666,2.714789105111099,9826
falcon-7b-legacy,forward,neutral,0,0.0,1.1232468069589847,1400
falcon-7b-legacy,forward,neutral,1,0.6359290316700729,5.078771850370424,1400
falcon-7b-legacy,forward,neutral,2,0.40732272890744003,1.174628163770449,1400
falcon-7b-legacy,forward,neutral,3,0.31204967327735195,0.9365285614182388,1400
falcon-7b-legacy,forward,neutral,4,0.35315267508983206,0.8461560001926752,1400
falcon-7b-legacy,forward,neutral,5,0.38387658484884785,0.992135928545374,1400
falcon-7b-legacy,forward,neutral,6,0.34661947666184395,0.8819679119103482,1400
falcon-7b-legacy,forward,neutral,7,0.4599039910726137,1.0723751687748238,1400
falcon-7b-legacy,forward,neutral,8,0.5662325371951241,1.222076090707702,1398
falcon-7b-legacy,forward,neutral,9,0.4016373449421892,1.1754185062977467,1398
falcon-7b-legacy,forward,neutral,10,0.4251438695878422,1.2103220859494674,1395
llama,forward,death,0,-0.17281276283033892,1.8926107921822362,17000
llama,forward,death,1,0.8843895035624363,3.5474988450544016,17000
llama,forward,death,2,0.20967072515450963,0.7855221691243098,17000
llama,forward,death,3,0.21631979599244208,0.702913427151756,17000
llama,forward,death,4,0.24966873298990938,0.7556799744877423,17000
llama,forward,death,5,0.3619534071638732,0.9896390651252276,17000
llama,forward,death,6,0.2663365856775979,0.8481430936518591,17000
llama,forward,death,7,0.2136747392691489,0.7062472239994392,17000
llama,forward,death,8,0.21148531576819143,0.7299053229800565,17000
llama,forward,death,9,0.22207829886317876,0.7231210969909506,17000
llama,forward,death,10,0.26686417940802226,0.8274236624684411,15741
minicpm,reverse,violence_liminal,0,1.238407949741049,1.5776154351178286,1000
minicpm,reverse,violence_liminal,1,0.912942002576706,1.5168255696872077,1000
minicpm,reverse,violence_liminal,2,1.046857686178139,2.0633300308716906,1000
minicpm,reverse,violence_liminal,3,1.2506120418884183,2.2181524784551234,1000
minicpm,reverse,violence_liminal,4,1.3630724681782957,2.3492871129769477,1000
minicpm,reverse,violence_liminal,5,1.7521958129758142,2.7902844567589518,1000
minicpm,reverse,violence_liminal,6,1.9721819791439268,3.047804388054125,1000
minicpm,reverse,violence_liminal,7,2.447056619887148,3.038548674813459,1000
minicpm,reverse,violence_liminal,8,1.6696441392794015,2.895206734377432,1000
minicpm,reverse,violence_liminal,9,2.415751631322034,3.673428582061294,1000
qwen3,forward,institutional,0,0.08712056121899185,1.9039944373303186,4800
qwen3,forward,institutional,1,0.8217625441697857,1.5590119648089291,4800
