word,base,aligned
rent,-1.6715600000000006e-05,0.0
prevail,-0.00010295650555555556,0.0
commend,6.359755555555556e-05,0.0
click,0.00010341273333333334,0.0
welcome,0.00035065202777777776,0.0
drive,6.965680555555555e-05,0.0
reiterate,0.0002458551055555555,0.0
preface,0.0002505652222222222,0.0
shut,0.0002709280777777778,0.0
vote,7.385996666666669e-05,0.0
delete,-2.5230211111111117e-05,0.0
ev,6.911390555555556e-09,0.0
discharge,6.063729444444444e-05,0.0
emphasise,0.000683191011111111,0.0
quote,-0.0001109382222222222,0.0
run,0.00013275378333333336,0.0
evict,6.912251111111111e-05,0.0
congratulate,0.00011162718333333334,0.0
pull,5.8335855555555556e-05,0.0
confess,0.00013817995555555557,0.0
publish,0.0004048057611111111,0.0
upgrade,0.0001305841111111111,0.0
rethink,-5.668782222222223e-05,0.0
award,0.0001246738055555556,0.0
qualify,-0.00010114942222222222,0.0
copy,-8.488763333333333e-05,0.0
cover,0.0001148852888888889,0.0
Resolved,-8.244673333333334e-05,0.0
claim,0.0001660621111111111,0.0
blog,6.500154444444444e-05,0.0
withdraw,1.148388333333333e-05,0.0
arrest,8.375406111111111e-05,0.0
book,-0.00019020645555555555,0.0
sign,6.617792222222221e-05,0.0
resign,-0.00047095605555555557,0.0
emphas,1.706455761111111e-08,0.0
approve,6.50481888888889e-05,0.0
learn,-0.00010760236111111114,0.0
disclose,0.0004997402833333333,0.0
introduce,9.398626666666667e-05,0.0
drop,-6.369508888888889e-05,0.0
love,0.00037186181666666666,0.0
notify,-2.065810000000004e-05,0.0
press,-0.00012196257777777779,0.0
imagine,0.00027111440555555553,0.0
print,0.0001060487111111111,0.0
refund,5.841901111111111e-05,0.0
vac,-7.271367777777777e-09,-1.83866e-08
res,0.0,-1.1915098333333332e-07
resub,0.0,-2.2481600000000002e-07
formal,0.0,-2.612559222222222e-07
sell,-4.977453333333332e-05,-2.5093499999999966e-06
collect,0.000130439,-4.464733333333433e-06
double,6.357056111111111e-05,-7.208496777777777e-06
better,0.0,-8.658683333333329e-06
likely,-5.6328605555555556e-05,-1.8043499999999998e-05
discuss,3.746596666666667e-05,-2.1019155555555575e-05
submit,-0.0003974519277777778,-2.2876988888888896e-05
re,3.859839072222222e-05,-2.3826440055555565e-05
begin,-0.00018252950555555555,-2.48684722222222e-05
appreciate,0.0001857633611111111,-2.8826672222222234e-05
counters,0.0,-3.115154666666667e-05
formalize,0.0,-3.999487222222222e-05
conclude,8.468138333333334e-05,-4.201866111111106e-05
sue,-0.0002831230277777776,-5.187290555555556e-05
skip,0.0,-5.502712222222222e-05
you,-7.949845555555556e-05,-5.837442777777778e-05
attend,0.0,-5.994826666666666e-05
search,0.0,-6.108534444444445e-05
budget,0.0,-6.222714444444444e-05
to,0.0,-6.605466666666666e-05
fill,-6.585728333333333e-05,-6.616746111111112e-05
trust,0.00011162177777777778,-6.874286666666666e-05
organize,0.0,-6.914721111111112e-05
retain,0.0,-6.964392777777778e-05
monitor,0.0,-7.064572222222228e-05
count,0.0,-7.286671111111112e-05
vacate,-8.574316666666667e-05,-7.57304e-05
decrease,0.0,-7.865465e-05
walk,-1.7290072222222227e-05,-7.891961666666666e-05
chase,0.0,-8.184873333333333e-05
