stratum,word,n_lineages,median_delta,lineages_pos,lineages_tested,p,plan_b_word
animal_unmarked,heaved,40,-0.00031164065,15,40,0.15385994,False
animal_unmarked,adjusted,46,0.0013654674,40,46,3.1028037e-07,False
animal_unmarked,reared,42,-0.0022604866,12,42,0.0079158973,False
animal_unmarked,tightened,46,0.0004502611,27,46,0.30199561,False
animal_unmarked,wh,45,-4.602879e-07,9,45,6.5746632e-05,False
animal_unmarked,struggled,41,-0.00025953935,16,41,0.2110236,False
animal_unmarked,blinked,43,0.0002175188,22,43,1,False
animal_unmarked,shifted,44,7.456755e-05,23,44,0.88039582,False
animal_unmarked,nuzzled,43,0.0010402068,32,43,0.001913961,False
animal_unmarked,yanked,44,-0.00095487203,12,44,0.0036577668,False
animal_unmarked,nudged,45,0.0002979373,26,45,0.37129803,False
animal_unmarked,growled,43,-5.019705e-05,21,43,1,False
animal_unmarked,qu,40,-2.754281e-07,18,40,0.635828,False
animal_unmarked,smacked,42,-0.0011144324,8,42,6.8771115e-05,False
animal_unmarked,lost,46,-3.3002775e-05,23,46,1,False
animal_unmarked,cleared,45,7.60452e-05,24,45,0.76599182,False
animal_unmarked,tore,46,-0.0011722562,11,46,0.00053558507,False
animal_unmarked,ended,46,0.00012702857,24,46,0.88299591,False
animal_unmarked,crashed,46,-0.0006558754,18,46,0.18392482,False
animal_unmarked,shattered,43,0.00059730965,25,43,0.36037765,False
animal_unmarked,dust,45,-7.0577515e-05,17,45,0.13515645,False
animal_unmarked,swept,46,2.60161e-05,24,46,0.88299591,False
animal_unmarked,glared,41,0.0002745924,22,41,0.75522866,False
animal_unmarked,curled,44,-0.0005633047,16,44,0.096141754,False
animal_unmarked,stomped,45,-0.000522475,18,45,0.23269319,False
animal_unmarked,crawled,42,-0.0011882469,6,42,2.8288778e-06,False
animal_unmarked,swore,45,0.0005147482,24,45,0.76599182,False
animal_unmarked,cursed,45,0.000220249,23,45,1,False
animal_unmarked,sank,40,-0.0010899323,11,40,0.0064265761,False
animal_unmarked,slumped,40,0.00051428445,25,40,0.15385994,False
animal_unmarked,burst,43,0.0001919937,22,43,1,False
animal_unmarked,grass,46,-0.0023446282,14,46,0.011351591,False
animal_unmarked,dirt,45,-0.0007822495,19,45,0.37129803,False
animal_unmarked,me,43,-6.184651e-05,11,43,0.001913961,False
animal_unmarked,fresh,46,-0.001454035,13,46,0.0045338616,False
animal_unmarked,drank,43,-0.0005305862,16,43,0.12628947,False
animal_unmarked,food,46,0.0012996301,24,46,0.88299591,False
animal_unmarked,plenty,45,-0.0003329365,22,45,1,False
animal_unmarked,fetched,40,0.0009717494,24,40,0.26818725,False
animal_unmarked,pigeons,44,-0.0027752254,9,44,0.00010604467,False
animal_unmarked,duck,43,-0.000369607,5,43,2.4995097e-07,False
animal_unmarked,chickens,46,-0.0057713967,14,46,0.011351591,False
animal_unmarked,sheep,42,-0.0013148397,15,42,0.088429547,False
animal_unmarked,swans,44,-0.0057299311,9,44,0.00010604467,False
animal_unmarked,their,46,-0.00038542833,20,46,0.46139118,False
animal_unmarked,turkeys,41,-0.0030277399,11,41,0.0043240049,False
animal_unmarked,ducks,46,-0.015592036,17,46,0.10380536,False
animal_unmarked,crows,40,-0.001143445,13,40,0.038477308,False
animal_unmarked,do,45,-0.00071751317,7,45,3.1213096e-06,False
animal_unmarked,enjoyed,45,0.0005991227,29,45,0.07245426,False
animal_unmarked,birds,40,-0.00086646535,16,40,0.26818725,False
animal_unmarked,pondered,41,0.0015909744,31,41,0.001450491,False
animal_unmarked,gazed,46,0.00061905637,28,46,0.18392482,False
animal_unmarked,plunged,41,-0.00041746695,18,41,0.53270926,False
animal_unmarked,knelt,45,2.26278e-05,23,45,1,False
