category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,labeling,cell,coverage,scen,pov,context
convert,-0.0252464614219725,6,41,-0.036078778885387845,-0.014414143958557153,0.015474739233450495,4.635732637954231e-05,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
cooperate,-0.008460397905745902,4,41,-0.015011720753137394,-0.0019090750583544095,0.009359032639130703,0.015403684286030879,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
crane,0.00014782687003045956,6,41,-0.004743135213873171,0.0050387889539340895,0.006987088691290899,0.9530559167982661,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
create,0.0020157805936585884,6,41,0.000473254213092989,0.003558306974224188,0.0022036091150937132,0.014302771349238096,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
declare,-0.010216161472464205,6,41,-0.017987068123927474,-0.0024452548210009356,0.011101295216376098,0.01376891201777261,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
discover,-0.025124309191779708,2,41,-0.041213506230362414,-0.009035112153197002,0.022984567197975293,0.003934165475595266,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
dress,-0.0021733935162305995,0,41,-0.00515704758578924,0.0008102605533280402,0.004262362956512342,0.16113090132515598,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
escape,-0.004147750045394928,18,41,-0.016703045242083586,0.00840754515129373,0.01793613599526951,0.5210056778978046,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
exist,-0.014007929943270747,4,41,-0.02237386499213808,-0.005641994894403415,0.011951335784096188,0.002144851274657203,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
ferret,0.022081075078913007,26,41,0.014257642979877458,0.029904507177948556,0.011176331570050786,2.1472311297505827e-06,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
forbid,-0.004563727411362432,3,41,-0.008628589066982741,-0.0004988657557421236,0.0058069452223147265,0.033603833992791425,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
force,0.026516176824883667,29,41,0.016995704441135878,0.036036649208631456,0.013600674833925415,2.7173410053471346e-06,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
fulfilling,0.007683839522620195,11,41,0.0015386211457744858,0.013829057899465903,0.00877888339549387,0.01872400915575454,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
future_having,0.0011963255402872388,18,41,-0.011893952928504795,0.014286604009079272,0.018700397812560044,0.8587436966084165,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
get,0.0047860221038320576,17,41,-0.006138077655634003,0.015710121863298118,0.015605856799237231,0.3956188342555887,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
give,-0.008054196187749633,6,41,-0.013611220364140385,-0.0024971720113588806,0.007938605966272504,0.007045911986253665,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
illustrate,0.007220609430794252,10,41,0.002812363170866177,0.011628855690722327,0.006297494657040107,0.002614342184553409,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
image_impression,-0.001091777684317139,2,41,-0.0033233144239768367,0.0011397590553425588,0.0031879096280852818,0.34335538926537973,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
indicate,-0.035343914432256984,8,41,-0.05172916207212383,-0.01895866679239014,0.023407496628381205,0.00013304977277100492,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
inquire,0.0026948680628599187,18,41,-0.012551267618278362,0.0179410037439982,0.02178019383019754,0.7308244802022248,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
investigate,0.0015901375355514358,5,41,0.0002024843331078544,0.0029777907379950172,0.0019823617177765446,0.030295416439192195,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
keep,-0.007160356564749715,3,41,-0.013845142634187705,-0.0004755704953117255,0.009549694384911414,0.042134198194522375,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
lecture,0.026896186518112573,29,41,0.006985571016769308,0.046806802019455834,0.028443736430490377,0.011540202421610557,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
lodge,0.00017901505111499167,3,41,-0.001896912784797368,0.0022549428870273515,0.0029656111941605136,0.8666341915572308,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
long,-0.007391975052352289,5,41,-0.01276012754553352,-0.0020238225591710565,0.007668789275973188,0.01014111834813945,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
masquerade,0.0016981367245385351,3,41,-0.0001890348260642561,0.003585308275141326,0.0026959593580039875,0.0854249572126102,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
mix,-0.01533032233815932,3,41,-0.021816892660999267,-0.008843752015319374,0.009266529032628493,3.791282816903187e-05,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
obtain,-0.006643883671265155,15,41,-0.018455503946467586,0.005167736603937275,0.016873743250289185,0.27684463076578125,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
order,0.020180255599272088,29,41,0.013501670873720353,0.026858840324823822,0.009540835322216765,6.076227807356526e-07,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
other_cos,3.367132280552928e-05,7,41,-0.0062646786324823305,0.00633202127809339,0.008997642793268371,0.991691792784789,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
